Week,1,Week,2,Week,3,Week,4,Week,5,Week,6,Week,7,Week,8,Week,9,Week,10,Week,11,Week,12,Week,13,Week,14,Week,15,Week,16,Week,17
Buffalo Bills,10.55861101,Baltimore Ravens,12.3,Baltimore Ravens,11.83145798,Jacksonville Jaguars,10.01662139,Washington Redskins,#VALUE!,Seattle Seahawks,#VALUE!,Detroit Lions,#VALUE!,Green Bay Packers,#VALUE!,Cleveland Browns,#VALUE!,Baltimore Ravens,#VALUE!,Carolina Panthers,#VALUE!,Baltimore Ravens,12.6338308,Jacksonville Jaguars,12.50674339,Jacksonville Jaguars,10.72748031,Jacksonville Jaguars,12.88144187,Baltimore Ravens,12.15042068,,
Pittsburgh Steelers,10.1436641,Arizona Cardinals,11.4,Tampa Bay Buccaneers,10.52688677,Arizona Cardinals,9.795641511,New Orleans Saints,#VALUE!,Dallas Cowboys,#VALUE!,Houston Texans,#VALUE!,Tennessee Titans,#VALUE!,Chicago Bears,#VALUE!,Kansas City Chiefs,#VALUE!,Indianapolis Colts,#VALUE!,Jacksonville Jaguars,12.35806887,Los Angeles Chargers,11.72599294,Dallas Cowboys,10.22380744,New Orleans Saints,12.07553964,Jacksonville Jaguars,11.29027034,,
Carolina Panthers,9.406897475,Oakland Raiders,10.6,New England Patriots,10.4299883,Cincinnati Bengals,9.966819632,Denver Broncos,#VALUE!,Cincinnati Bengals,#VALUE!,Jacksonville Jaguars,11.05038066,Los Angeles Rams,#VALUE!,Los Angeles Chargers,#VALUE!,Oakland Raiders,#VALUE!,New York Jets,#VALUE!,Philadelphia Eagles,11.47990498,Los Angeles Rams,10.75644821,Los Angeles Chargers,10.21958454,Baltimore Ravens,11.94216795,Los Angeles Chargers,11.11378216,,
Los Angeles Rams,9.179888602,Seattle Seahawks,10.3,Miami Dolphins,9.731623809,Dallas Cowboys,9.461530492,Atlanta Falcons,#VALUE!,Buffalo Bills,#VALUE!,New Orleans Saints,10.63677065,Arizona Cardinals,#VALUE!,New England Patriots,#VALUE!,Philadelphia Eagles,#VALUE!,San Francisco 49ers,#VALUE!,Pittsburgh Steelers,10.88335997,Baltimore Ravens,10.62668322,Green Bay Packers,10.0596613,Philadelphia Eagles,10.77047862,Chicago Bears,10.668573,,
Denver Broncos,9.156065402,Carolina Panthers,10.3,Green Bay Packers,9.659040699,Seattle Seahawks,9.797011482,Pittsburgh Steelers,10.38576715,Baltimore Ravens,11.79090503,Pittsburgh Steelers,10.5048982,Jacksonville Jaguars,#VALUE!,Pittsburgh Steelers,#VALUE!,Los Angeles Rams,12.26930352,Jacksonville Jaguars,12.51399609,Cincinnati Bengals,10.33030453,Tennessee Titans,10.40695103,Buffalo Bills,9.910900308,Minnesota Vikings,9.935647907,Pittsburgh Steelers,10.55849523,,
Houston Texans,8.973399767,Tampa Bay Buccaneers,10,Philadelphia Eagles,9.475646982,Kansas City Chiefs,9.614434967,Buffalo Bills,10.34108195,Jacksonville Jaguars,11.37675004,Seattle Seahawks,10.1068207,New York Giants,#VALUE!,Minnesota Vikings,#VALUE!,Detroit Lions,11.51890887,Detroit Lions,10.39941884,Seattle Seahawks,10.17963681,Pittsburgh Steelers,9.971652378,Cincinnati Bengals,9.580881201,Buffalo Bills,9.92327869,Minnesota Vikings,10.44320733,,
Tampa Bay Buccaneers,#VALUE!,Cincinnati Bengals,9.8,Pittsburgh Steelers,9.376854952,Pittsburgh Steelers,9.007597322,Philadelphia Eagles,10.09976881,Houston Texans,10.70459963,Los Angeles Rams,9.903914333,New Orleans Saints,11.26420463,Jacksonville Jaguars,12.62768115,Pittsburgh Steelers,10.80290076,Baltimore Ravens,10.31131361,Carolina Panthers,10.15538576,Kansas City Chiefs,9.141459585,New England Patriots,9.400288058,Washington Redskins,9.772897161,Arizona Cardinals,10.01911514,,
New England Patriots,8.604006462,Los Angeles Chargers,9.4,Indianapolis Colts,9.275551975,Baltimore Ravens,8.939121263,Detroit Lions,9.975452255,Washington Redskins,10.6390933,Buffalo Bills,9.866010655,Minnesota Vikings,11.16972999,Buffalo Bills,11.94860573,Jacksonville Jaguars,10.68416989,Houston Texans,10.26022207,Washington Redskins,9.638970308,Chicago Bears,9.056376534,Houston Texans,9.320986706,Detroit Lions,9.743117268,Carolina Panthers,9.554788315,,
Baltimore Ravens,8.548064886,Pittsburgh Steelers,9.1,Los Angeles Rams,9.133542452,Tampa Bay Buccaneers,8.883604664,Baltimore Ravens,9.775313035,Denver Broncos,9.914187108,Minnesota Vikings,9.70046076,Philadelphia Eagles,10.72569039,Houston Texans,11.27968924,Seattle Seahawks,10.56750076,Arizona Cardinals,10.19577383,Atlanta Falcons,9.468841767,New Orleans Saints,9.016136534,Pittsburgh Steelers,9.279589952,Arizona Cardinals,8.918219406,Kansas City Chiefs,9.546449872,,
Atlanta Falcons,8.213338043,Dallas Cowboys,8.7,Denver Broncos,9.043025465,Tennessee Titans,8.851322951,Kansas City Chiefs,9.754161758,Atlanta Falcons,9.858418874,Miami Dolphins,9.426332809,Baltimore Ravens,10.10464442,Los Angeles Rams,10.57403948,Carolina Panthers,10.05276691,Los Angeles Chargers,9.976939734,New England Patriots,9.134473874,Dallas Cowboys,8.775254726,Indianapolis Colts,9.22708214,Denver Broncos,8.61501452,Washington Redskins,9.413955401,,
Cincinnati Bengals,8.204158825,New York Giants,8.6,Kansas City Chiefs,8.911574877,Green Bay Packers,8.651380473,Cleveland Browns,9.628041094,Tennessee Titans,9.052917158,Dallas Cowboys,9.304080655,Kansas City Chiefs,9.871003524,Philadelphia Eagles,10.36665389,Tennessee Titans,9.719584281,Kansas City Chiefs,9.860985644,Minnesota Vikings,8.784291975,Philadelphia Eagles,8.753857926,Tennessee Titans,8.868988989,Los Angeles Chargers,8.200636917,Los Angeles Rams,9.222385487,,
Los Angeles Chargers,8.185438626,Kansas City Chiefs,8.3,San Francisco 49ers,8.800735506,New England Patriots,8.615585806,Tennessee Titans,9.313448702,New England Patriots,9.109309952,Los Angeles Chargers,9.088366564,Cincinnati Bengals,9.821097207,Seattle Seahawks,9.878166273,Chicago Bears,9.499672398,New Orleans Saints,9.483978836,Kansas City Chiefs,8.748073807,San Francisco 49ers,8.285791051,Minnesota Vikings,8.804714052,Carolina Panthers,8.061302923,Detroit Lions,9.202699507,,
Arizona Cardinals,7.922388388,Washington Redskins,8,Carolina Panthers,8.757322425,Atlanta Falcons,8.294359897,New York Jets,8.761208647,New Orleans Saints,8.956422592,Carolina Panthers,8.950921299,Pittsburgh Steelers,9.725156999,Arizona Cardinals,9.65304891,Minnesota Vikings,9.15461137,Pittsburgh Steelers,9.329527743,Arizona Cardinals,8.327521172,Oakland Raiders,8.277668254,New York Jets,8.718587158,Dallas Cowboys,8.046465483,Philadelphia Eagles,9.062045798,,
Dallas Cowboys,7.813085009,Tennessee Titans,7.7,Dallas Cowboys,8.717601,Minnesota Vikings,7.914721706,Indianapolis Colts,8.703664201,Kansas City Chiefs,8.65413795,Tennessee Titans,8.808658989,Seattle Seahawks,9.245935289,New Orleans Saints,9.426207824,New Orleans Saints,9.101720067,Tampa Bay Buccaneers,8.661949544,Tennessee Titans,8.255746,New England Patriots,8.272201564,Seattle Seahawks,8.62080979,Indianapolis Colts,7.876143868,New England Patriots,8.989783715,,
Miami Dolphins,#VALUE!,Los Angeles Rams,7.7,Cleveland Browns,8.717547158,Cleveland Browns,7.901452975,Cincinnati Bengals,8.564951559,Tampa Bay Buccaneers,8.464554426,Baltimore Ravens,8.793721368,Atlanta Falcons,9.205933285,San Francisco 49ers,9.389066975,New York Jets,8.976659544,Denver Broncos,8.412224379,Houston Texans,8.127412592,Green Bay Packers,8.146774466,San Francisco 49ers,8.217001387,San Francisco 49ers,7.73176866,Dallas Cowboys,8.441941612,,
Minnesota Vikings,7.588691638,Miami Dolphins,7.5,Tennessee Titans,8.181621915,Detroit Lions,7.748937488,Houston Texans,8.304419106,Los Angeles Rams,8.326154874,New York Jets,8.257313642,Dallas Cowboys,9.204345047,Detroit Lions,8.93455259,Tampa Bay Buccaneers,8.960103155,Green Bay Packers,8.238285595,Cleveland Browns,7.70865511,Detroit Lions,7.701379266,Chicago Bears,8.034114642,Atlanta Falcons,7.698269361,New York Giants,8.068747438,,
Philadelphia Eagles,7.515941007,Houston Texans,7.4,Buffalo Bills,8.163919252,Los Angeles Chargers,7.672372197,San Francisco 49ers,8.240327592,Pittsburgh Steelers,8.050840371,Kansas City Chiefs,7.990693,Buffalo Bills,9.129204567,Tennessee Titans,8.731456664,New England Patriots,8.726278807,Seattle Seahawks,8.215633658,New York Jets,7.602718802,Miami Dolphins,7.619330506,Baltimore Ravens,7.999564259,Seattle Seahawks,7.534460787,New Orleans Saints,7.976421973,,
Washington Redskins,7.297065933,Jacksonville Jaguars,6.9,Jacksonville Jaguars,7.832736733,New Orleans Saints,7.561997197,Minnesota Vikings,8.146134405,Green Bay Packers,7.676620506,Philadelphia Eagles,7.859745047,Miami Dolphins,8.736193302,Green Bay Packers,8.613190135,San Francisco 49ers,8.627006404,Minnesota Vikings,8.192678141,Oakland Raiders,7.331454952,Denver Broncos,7.608304585,Denver Broncos,7.949994618,Miami Dolphins,7.490760387,Denver Broncos,7.701680945,,
Indianapolis Colts,7.163258679,Detroit Lions,6.9,Minnesota Vikings,7.773903225,New York Jets,7.460324425,Oakland Raiders,8.116763799,Carolina Panthers,7.617624252,Chicago Bears,7.5124651,Detroit Lions,8.103823441,Baltimore Ravens,8.315694592,New York Giants,8.514329284,Cincinnati Bengals,8.12151142,Los Angeles Chargers,7.120864155,Washington Redskins,7.263405319,Los Angeles Rams,7.888162488,Tennessee Titans,7.440333078,Cleveland Browns,7.519227503,,
Jacksonville Jaguars,6.975849225,New England Patriots,6.5,Atlanta Falcons,7.287604232,San Francisco 49ers,7.254085591,Los Angeles Rams,7.765042968,Indianapolis Colts,5.735537346,Tampa Bay Buccaneers,7.425132565,Tampa Bay Buccaneers,7.657845025,Dallas Cowboys,7.977989624,Buffalo Bills,8.05324505,Chicago Bears,7.839034333,Dallas Cowboys,6.93709478,Tampa Bay Buccaneers,7.129491407,Tampa Bay Buccaneers,7.836309721,Los Angeles Rams,7.350010208,San Francisco 49ers,7.369136047,,
Green Bay Packers,6.940069314,Buffalo Bills,5.5,Seattle Seahawks,6.894184721,Denver Broncos,7.075906,Jacksonville Jaguars,7.399527797,Arizona Cardinals,6.932310114,Indianapolis Colts,6.972287738,New England Patriots,7.582552093,Carolina Panthers,7.734582269,Los Angeles Chargers,7.938465264,Los Angeles Rams,7.799790266,Detroit Lions,6.923606725,New York Jets,6.983316587,Cleveland Browns,7.825417584,Houston Texans,7.157556847,Cincinnati Bengals,6.801870386,,
Detroit Lions,6.342683048,Chicago Bears,5.5,Los Angeles Chargers,6.893722008,Philadelphia Eagles,6.875732034,Dallas Cowboys,6.990172759,Philadelphia Eagles,6.755109661,Cincinnati Bengals,6.894732562,Houston Texans,6.974899113,Cincinnati Bengals,7.236092017,Green Bay Packers,7.852171733,Buffalo Bills,7.684805891,Los Angeles Rams,6.724487431,Houston Texans,6.730279269,Arizona Cardinals,7.369487899,Chicago Bears,6.787034367,Green Bay Packers,5.927803598,,
Oakland Raiders,5.861590349,Philadelphia Eagles,4.7,New York Giants,6.764348909,New York Giants,6.752455482,Carolina Panthers,6.902436315,Minnesota Vikings,6.540014153,New York Giants,6.767404634,Carolina Panthers,6.415936011,Atlanta Falcons,6.930930964,Washington Redskins,7.496076,Cleveland Browns,7.667971265,Buffalo Bills,6.295061169,Seattle Seahawks,6.703597268,Detroit Lions,7.130993895,Green Bay Packers,6.500160717,Seattle Seahawks,5.803147495,,
New York Giants,5.828993634,San Francisco 49ers,4.9,New York Jets,6.484966725,Houston Texans,6.499409258,New York Giants,6.810495447,Chicago Bears,6.438139426,Denver Broncos,6.507374858,New York Jets,6.181424087,Oakland Raiders,6.852165655,Dallas Cowboys,6.803789108,Philadelphia Eagles,7.652411648,San Francisco 49ers,5.929515666,Arizona Cardinals,6.70335411,Kansas City Chiefs,6.872854951,New York Giants,6.175325309,Tennessee Titans,5.758871192,,
